Player Name,Position,School,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Drafttech,CBS,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
Ethan Conner,CB,Miami,Sophomore,6'1,172,4.5,,184,,,,,,,,,,,
Ethan Conner,TE,Troy,Senior,6'4,245,,,,,,,,,,,,,,
Fred Davis,CB,Northwestern,Senior,6'1,200,4.29,,215,,,,,,,,,,,
Gabriel Rubio,DL,Norte Dame,Senior,6'5,322,4.9,,240,,,,,,,,,,,
Gary Smith,DL,UCLA,Senior,6'2,340,,263,,99,,168,,,,,,,,
George Gumbs Jr,EDGE,Florida,Senior,6'4,250,,164,,,,180,,,,,,,,
Gracen Halton,DL,Oklahoma,Senior,6'2,292,4.86,232,142,,118,184,,,,,,,,
Grayson James,QB,Boston College,Senior,6'3,218,,286,,,,,,,,,,,,
Gunner Maldonado,S,Kansas State,Senior,5'11,193,,311,,,,,,,,,,,,
Gunner Stockton,QB,Georgia,Junior,6'1,215,4.65,,165,,,,,,,,,,,
Hank Beatty,WR,Illinois,Senior,5'11,185,,265,,,,156,,,,,,,,
Hank Brown,QB,Iowa,Sophomore,6'4,215,4.85,,294,,,,,,,,,,,
Harrison Wallace III,WR,Mississippi,Senior,6'1,200,,269,,105,,151,,,,,,,,
Hayes King,QB,Georgia Tech,Senior,6'3,215,4.45,,193,,,286,,,,,,,,
Hezekiah Masses,CB,California,,,,,136,,76,104,130,,,,,,,,
Hykeem Williams,WR,Colorado,Junior,6'2,220,4.32,,180,,,,,,,,,,,
Isaac Smith,S,Mississippi State,Junior,6'0,220,4.6,,179,,,,,,,,,,,
Isaiah Nwokobia,S,SMU,Senior,6'1,205,,172,,,,264,,,,,,,,
J.Michael Sturdivant,WR,Florida,Senior,6'3,213,4.38,193,177,,,,,,,,,,,
J'Mari Taylor,RB,Virginia,Senior,5'9,204,4.39,140,118,,134,113,,,,,,,,
Ja'Keem Jackson,CB,LSU,Sophomore,6'0,190,4.45,,203,,,,,,,,,,,
Ja'Mori Mackin,WR,Kentucky ,Senior,5'11,191,,408,,,,,,,,,,,,
Jack Kelly,LB,BYU,Senior,6'2,242,,391,,,,,,,,,,,,
Jack Pyburn,EDGE,LSU,Senior,6'4,264,,281,,182,,187,,,,,,,,
Jack Strand,QB,Minnesota State,Junior,6'5,240,,,,128,,,,,,,,,,
Jack Velling,TE,Michigan State,Senior,6'5,245,,255,183,,,,,,,,,,,
Jackie Marshall,EDGE,Baylor,Senior,6'3,306,,291,,,,282,,,,,,,,
Jackson Kuwatch,EDGE,Miami (OH),Senior,6'4,235,,,,,,197,,,,,,,,
Jacob De Jesus,WR,California ,Senior,5'7,170,,,,,,226,,,,,,,,
Jacobe Johnson,CB,Oklahoma,Junior,6'2,208,4.54,,187,,,,,,,,,,,
Jacobian Guillory,DL,LSU,Graduated,6'2,318,,371,,,,,,,,,,,,
Jaden Bray,WR,West Virginia ,Senior,6'2,209,4.46,,264,,,,,,,,,,,
Jaden Greathouse,WR,Notre Dame,Junior,6'1,212,4.55,,112,,,,,,,,,,,
Jaheim Lawson,EDGE,Clemson,Junior,6'2,255,4.72,,,94,,,,,,,,,,
Jahmal Edrine,WR,Virginia,Senior,6'3,221,,342,,,,,,,,,,,,
Jaiden Ausberry,LB,Notre Dame ,Sophomore,6'2,228,4.61,,251,,,,,,,,,,,
Jaishawn Barham,EDGE,Michigan,Senior,6'3,243,,103,,,,,,,,28,,,,
Jake Retzlaff,QB,Tulane,Senior,6'1,205,,226,,,,,,,,,,,,
Jakobe Thomas,S,Miami,Senior,6'2,200,4.55,,103,149,,148,,,,,,,,
Jaleel Skinner,TE,Louisville,Junior,6'5,230,4.48,,272,,,,,,,,,,,
Jalen Berger,RB,UCLA,Senior,6'1,215,4.58,,291,,,,,,,,,,,
Jalen Catalonia,S,Missouri,Graduated,5'10,200,,215,185,,,245,,,,,,,,
Jalen Husker,S,Maryland ,Senior,6'2,201,,284,,,,103,,,,,,,,
Jalen McMurray,CB,Tennessee,Senior,6'0,187,,,,117,,212,,,,,,,,
Jalen Stroman,S,Notre Dame,Senior,6'1,201,,131,114,,,207,,,,,,,,
Jalen Walthall,WR,Incarnate Word,Senior,6'2,180,,365,,,,191,,,,,,,,
Jalil Farooq,WR,Maryland,Senior,6'2,213,4.49,,199,,,,,,,,,,,
Jalon Daniels ,QB,Kansas,Senior,6'0,220,4.58,169,156,158,,202,,,,,,,,
Jalon Kilgore,CB,South Carolina,Junior,6'1,211,,132,,,,,,,,,,55,,
Jalon Kilgore,S,South Carolina,Junior,6'1,211,4.48,,95,95,86,159,,,,,,,,
Jamal Haynes,RB,Georgia Tech,Senior,5'9,190,4.48,235,173,,,254,,,,,,,,
Jamari Johnson,TE,Oregon,Sophomore,6'5,257,,,,,63,,,,,,,,,
Jamarion Miller,RB,Alabama,Senior,5'10,221,,242,,156,,138,,,,,,,,
Jamel Johnson,S,TCU,Junior,6'1,200,,,,,,,,,,,,,,
Jameson Geers,TE,Minnesota,Senior,6'5,250,4.76,,,,,,,,,,,,,
Jaquaize Pettaway,WR,East Carolina,Junior,6'0,194,4.37,,202,,,,,,,,,,,
Jaquez Moore,RB,Duke,Senior,5'10,205,,377,,,,,,,,,,,,
Jared Brown,WR,South Carolina,Senior,6'0,195,4.5,,295,,,,,,,,,,,
Jaren Kanak,TE,Oklahoma,Senior,6'2,233,,233,153,,,265,,,,,,,,
Jason Henderson,LB,Old Dominion ,Senior,6'1,225,4.7,,238,,,,,,,,,,,
Jay Green ,S,Stanford,Junior,6'3,215,,367,,,,,,,,,,,,
Jayden Ballard,WR,Wisconsin ,Senior,6'2,205,4.48,,289,,,,,,,,,,,
Jayden Williams,S,UCF,Senior,5'11,185,,402,,,,,,,,,,,,
Jaydn Ott,RB,Oklahoma,Senior,5'11,208,,162,132,173,,269,,,,,,,,
Jaylin Davies,CB,Oklahoma Stare,Senior,5'11,180,4.6,,279,,,,,,,,,,,
Jaylon Braxton,S,Ole Miss,Sophomore,6'0,190,4.48,,192,,,,,,,,,,,
Jaylon Guilbeau,CB,Texas,Senior,6'0,183,,310,,,,251,,,,,,40,,
Jeadyn Lukas,CB,Clemson,Senior,6'2,200,,210,,,,,,,,,,,,
Jeff Sims,QB,Arizona State,Senior,6'4,220,4.78,,285,,,,,,,,,,,
Jerand Bradley,WR,Kansas State,Senior,6'5,223,4.5,,275,,,,,,,,,,,
Jeremiah Franklin,TE,Boston College,Senior,6'3,244,,278,,,,,,,,,,,,
Jeremiah Walker,CB,Stephen Austin,Senior,6'0,192,4.5,,293,,,,,,,,,,,
Jermaine Mathews Jr.,CB,Ohio State,Junior,5'11,190,4.38,185,130,,137,,,,,,,,,
Jerry Wilson,CB,Florida State,Senior,5'10,185,,231,171,,,,,,,,,,,
Jimmori Robinson ,EDGE,West Virginia ,Senior,6'4,250,,323,,,,,,,,,,,,
JJ Johnson,S,North Carolina,Graduated,5'10,200,,331,,,,,,,,,,,,
Joe Fagnano,QB,UCONN,Graduated,6'4,225,,236,,,,248,,,,,,,,
Joe Royer,TE,Cincinnati,Senior,6'5,250,4.65,117,82,  ,,134,,,,,,,,
Joey Aguilar,QB,Tennesse,Senior,6'3,225,4.85,,174,,,193,,,,,,,,
John Love,K,Virginia Tech,,,,,,,,,,,,,,,,,
John Michael Gyllenborg,TE,Wyoming,Senior,6'5,251,,160,,171,127,234,,,,,,58,,
Johnathan Jefferson,DL,SMU,Senior,6'3,315,4.9,,263,,,,,,,,,,,
Jojo Earle,WR,UNLV,Senior,5'10,185,4.39,,246,,,,,,,,,,,
Jordan Hall,DL,Georgia,Junior,6'4,330,5.25,,198,,,,,,,,,,,
Jordan Hudson,WR,SMU,Senior,6'1,200,,,,,,241,,,,,,,,
Jordan Mosley,WR,Mississippi State,Senior,6'0,195,,373,,,,,,,,,,,,
Jordan Pollard,LB,San Jose State,Senior,6'1,202,,395,,,,,,,,,,,,
Josh Cuevas,TE,Alabama,Senior,6'3,256,,115,160,125,,163,,,,,,,,
Josh Moten,CB,Southern Miss,Senior,6'0,185,4.43,212,145,,,107,,,,,,,,
Justin Jefferson,LB,Alabama,Senior,6'1,227,,401,,,,142,,,,,,,,
Justin Joly,TE,NC State,Senior,6'3,251,4.75,89,86,98,102,127,,,,,,,,
Kaden Wetjen,WR,Iowa,Senior,5'9,196,,,,,,,,,,,,,,
Kaelon Black,RB,Indiana,Senior,5'10,211,,207,,,,214,,,,,,,,
Kaiden Salter,QB,Colorado ,Senior,6'1,190,4.5,394,255,,,,,,,,,,,
Kaleb Elarms-Orr,LB,TCU,Senior,6'2,230,,360,,174,,209,,,,,,,,
Kam Olds,EDGE,Kentucky ,Senior,6'4,252,,404,,,,,,,,,,,,
Kansei Matsuzawa,K,Hawaii,,,,,,,,,204,,,,,,,,
Karon Prunty,CB,Wake Forrest,Senior,6'2,192,,,266,,,228,,,,,,,,
Keanu Koht,LB,Vanderbilt ,Senior,6'4,232,4.7,,281,,,,,,,,,,,
Keanu Tanuvasa,DL,BYU,Junior,6'4,300,,,,,,133,,,,,,,,
Keaton Wade,EDGE,Colorado,Senior,6'4,235,4.45,,229,,,,,,,,,,,
Kendal Daniels,S,Oklahoma,Senior,6'5,242,,317,242,,,,,,,,,,,
Kendal Dolby,S,Mississippi State,,5'11,194,,362,,,,,,,,,,,,
Kendrick Law,WR,Kentucky ,Senior,6'0,205,4.42,,207,,,,,,,,,,,
Kentrell Bullock,RB,South Alabama,Senior,5'10,205,,337,,,,261,,,,,,,,
Keshawn Silver,DL,USC,Senior,6'4,330,,247,276,,,274,,,,,,,,
Kevin Gilliam Jr.,DL,Virginia Tech,Senior,6'3,295,4.75,,296,,,,,,,,,,,
Kevin Jennings,QB,SMU,Junior,6'0,192,4.6,,164,,,,,,,,,,,
Key Lawrence,S,UCLA,Senior,6'1,200,4.51,,286,,,,,,,,,,,
Keyon Ware-Hudson,DL,Oregon,Senior,6'2,305,4.8,,235,,,,,,,,,,,
Keyshaun Elliot,LB,Arizona State,Senior,6'2,235,,383,,,,155,,,,,,,,
Khalil Alexander,LB,Texas Stare,Senior,6'3,225,4.62,,178,,,,,,,,,,,
Khalil Saunders,DL,Kentucky ,,,,,,,,,218,,,,,,,,
Khordae Sydnor,DL/ED,Vanderbilt,Senior,6'4,266,4.47,,284,,,,,,,,,,,
Kobe Prentice,WR,Baylor,Senior,5'11,190,,354,,,,258,,,,,,,,
Kolby Taylor,CB,Vanderbilt ,,,,,,,,,216,,,,,,,,
Korey Foreman,EDGE,Fresno State,Senior,6'4,250,4.75,,232,,,,,,,,,,,
Kyle Walljasper,QB,Minnesota Duluth,Senior,6'1,240,,,,160,,,,,,,,,,
Kyron Jones,QB,Virginia Tech,Senior,6'2,235,4.72,239,208,,,,,,,,,,,
Lake McRee,TE,USC,Senior,6'4,250,,197,,,,232,,,,,,,,
Landon Robinson,DL,Navy,Senior,6'0,287,,270,,, ,196,,,,,,,,
Latrell McCutchin Sr.,CB,Houston,Senior,6'1,185,,,243,,,260,,,,,,,,
Lawson Luckie,TE,Georgia,Junior,6'4,240,4.65,,176,,,,,,,,,,,
Le'Veon Moss,RB,Texas A&M,Senior,5'11,210,4.42,150,141,,,118,,,,,,,,
Lee Hunter,DL,Texas Tech,Senior,6'4,325,5.2,,,30,40,,,,,,,60,,
Lewis Bond,WR,Boston College,Senior,5'11,190,,288,,79,,194,,,,,,,,
LJ Johnson,RB,Cal,Senior,5'10,215,4.33,,278,,,,,,,,,,,
Logan Diggs,RB,Ole Miss,Senior,6'0,220,,287,,,,,,,,,,,,
Logan Fano,EDGE,Utah,Junior,6'5,260,,221,,,,161,,,,,,,,
London Humphrey,WR,Georgia,Junior,6'2,200,4.4,,188,,,,,,,,,,,
Lorenzo Styles,S,Ohio State,Senior,6'1,195,4.35,,305,,,,,,,,,,,
Louis Moore,S,Indiana,Senior,5'11,200,,,,,113,121,,,,,,,,
Luke Altmyer,QB,Illinois ,Senior,6'2,205,4.75,202,159,180,,256,,,,,,,,
Luke Hasz,TE,Ole Miss,Junior,6'3,250,4.68,396,195,,,,,,,,,,,
Makari Vickers,CB,Colorado,Sophomore,6'1,192,4.42,,253,,,,,,,,,,,
Makis Deal,DL,TCU,Sophomore,6'5,325,5.1,,221,,,,,,,,,,,
Malachi Lawrence,EDGE,UCF,Senior,6'4,250,4.78,149,111,46,105,123,,,,,,,,
Malcom Greene,CB,Massachusetts ,Senior,5'11,190,4.47,,248,,,,,,,,,,,
Malik Benson,WR,Oregon,Senior,6'1,195,,,,,,244,,,,,,,,
Malik Rutherford ,WR,Georgia Tech,Senior,5'9,170,,343,,,,,,,,,,,,
Malik Spencer,S,Michigan State,Senior,6'1,191,4.5,,220,,,219,,,,,,,,
Marcus Allen,CB,North Carolina,Senior,6'2,190,,330,,,,,,,,,,,,
Mark Gronowski,QB,Iowa,Graduated,6'2,235,,293,,,,,,,,,,,,
Marlin Klein,TE,Michigan,Senior,6'6,250,,111,,138,,210,,,,,,,,
Marvin Jones Jr,EDGE,Oklahoma,Senior,6'5,262,,329,,,,291,,,,,,,,
Mathew Hiberner,TE,SMU,Graduated,6'5,252,,344,,,,278,,,,,,,,
Mathew Stuka,QB,James Madison,Senior ,6'2,211,4.8,,268,,,,,,,,,,,
Matt Lauter,TE,Boise State,Senior,6'3,245,,388,,,,,,,,,,,,
Maverick McIvor,QB,Western Kentucky,Graduated,6'2,214,,320,,,,297,,,,,,,,
Max Llewellyn,EDGE,Iowa,Senior,6'5,263,,173,,,133,94,,,,,,,,
Max Tomczak,WR,Youngstown State,Senior,6'0,195,,379,,,,263,,,,,,,,
Mel Brown,RB,UCONN,Senior,5'9,180,,268,,,,,,,,,,,,
Micah Davey,LB,UTEP,Senior,6'2,235,,,,,,225,,,,,,,,
Micah Pittman,WR,Utah,Senior,6'0,205,4.55,,314,,,,,,,,,,,
Michael Harris,LB,Maryland,Junior,6'1,218,4.65,,214,,,,,,,,,,,
Michael Taaffe,S,Texas,Senior,6'0,189,4.55,121,46,,117,60,,,,,,,,
Michael Wortham,WR,Montana,Senior,5'9,177,,,,123,,268,,,,,,,,
Mikail Kamara,EDGE,Indiana,Senior,6'1,265,4.8,99,93,,106,77,,,,,,,,
Mike Washington Jr.,RB,Arkansas,Senior,6'2,223,4.45,135,106,,,172,,,,,,,,
Miles Capers,EDGE,Vanderbilt,Graduated,6'4,249,,378,,,,,,,,,,,,
Miles Kitselman,TE,Tennessee,Senior,6'5,265,4.75,146,149,136,,295,,,,,,,,
Miller Moss,QB,Louisville,Senior,6'2,210,4.85,216,151,, ,184,,,,,,,,
Mitchell Melton,LB/ED,Virginia ,Senior,6'4,256,4.76,,250,,,,,,,,,,,
Mo Westmoreland,EDGE,Tulane,Senior,6'2,250,,316,,,,,,,,,,,,
Mohamed Toure,LB,Miami (FL),Graduated,6'2,,,338,,,,177,,,,,,,,
Nadame Tucker,EDGE,Western Michigan,Senior,6'3,250,,152,,137,,132,,,,,,,,
Namdi Obiazor,LB,TCU,Senior,6'3,230,,412,,,,174,,,,,,,,
Nate Boerkircher,TE,Texas A&M,Graduated,6'4,250,,174,,166,,178,,,,,,,,
Nick Anderson,S,Wake Forrest,Graduated,5'11,197,,,,,,220,,,,,,,,
Nick Singleton,RB,Penn State,Senior,6'0,224,4.39,,74,143,76,96,,,,,,48,,
Nicolas Radicic,K,Indiana,,,,,,,,,,,,,,,,,
Nikai Martinez,S,Michigan State,Senior,5'11,195,,276,,,,,,,,,,,,
Noah Fifta,QB,Arizona,Junior,5'10,186,4.75,,158,,,,,,,,,,,
Noah Thomas,WR,Georgia,Senior,6'5,205,4.45,191,218,,114,224,,,,,,,,
Noah Whittington,RB,Oregon,Senior,5'8,203,,253,,,,145,,,,,,,,
Nyjalik Kelly,EDGE,UCF,Senior,6'5,250,,382,,,,201,,,,,,,,
Nyland Green,CB,Arizona Stare,Senior,6'2,185,4.5,,260,,,,,,,,,,,
Nyziah Hunter,WR,Nebraska,Sophomore,6'1,205,4.45,,313,,,,,,,,,,,
Patrick Payton,EDGE,LSU,Senior,6'6,255,,214,162,,,85,,,,,,,,
Peyton Bowen,S,Oklahoma,Junior,6'0,201,,225,170,,,,,,,,,,,
Peyton Woodring,K,Georgia,,,,,,,,,,,,,,,,,
Phillip Dunham,S,UCF,Senior,6'1,190,,351,,,,276,,,,,,,,
Preston Hodge,CB,Colorado,Senior,6'0,200,4.53,,209,73,,288,,,,,,,,
Preston Stone,QB,Northwestern,Senior,6'1,215,4.9,,237,,,,,,,,,,,
Prince Kollie,LB,Vanderbilt ,Senior,6'1,227,4.6,,261,,,,,,,,,,,
Prophet Brown,CB,USC,Senior,5'11,190,4.3,,311,,,,,,,,,,,
Quinten Joyner,RB,Texas Tech,Sophomore,5'11,205,4.47,,155,,,,,,,,,,,
Raesjon Davis,LB,Oregon State,Senior,6'0,223,4.64,,283,,,,,,,,,,,
Rahsual Faison,RB,South Carolina,Graduated,6'0,218,,198,,,,169,,,,,,,,
Raion Strader,CB,Pittsburg,,6'0,185,,218,,,,,,,,,,,,
Rara Thomas,WR,Troy,Senior,6'2,208,4.4,,309,,,,,,,,,,,
Raul Aguirre Jr,LB,Miami,Junior,6'2,233,4.65,,292,,,,,,,,,,,
Raylen Wilson,LB,Georgia,Junior,6'1,235,4.52,,152,,,,,,,,,,,
Raymond Cottrell,WR,Texas A&M,Freshman,6'3,210,4.56,,200,,,,,,,,,,,
Rayshaun Benny,DL,Michigan ,Senior,6'4,305,4.9,,,163,,,,,,,,,,
Rayshaun Benny,DL,Michigan,Senior,6'4,305,4.9,205,143,, ,88,,,,,,,,
Reggie Grimes II,DL,Memphis,Junior,6'4,282,4.77,,269,,,,,,,,,,,
Reggie Virgil,WR,Texas Tech,Senior,6'3,190,,238,,115,,173,,,,,,,,
Reid Carrico,LB,West Virginia ,Senior,6'2,230,4.65,,224,,,,,,,,,,,
Rene Kings,DL,Louisville,,,,,,,,,206,,,,,,,,
Ricardo Hallman,CB,Wisconsin ,Graduated,5'10,190,,403,191,,,294,,,,,,,,
Riley Nowakowski,TE,Indiana,Senior,6'2,249,,222,,,,129,,,,,,,,
RJ Maryland,TE,SMU,Senior,6'4,240,,246,,,,296,,,,,,,,
Robert Gunn,K,Clemson,,,,,,,,,,,,,,,,,
Robert Henry,RB,UTSA,Senior,5'9,205,,,,152,,262,,,,,,,,
Rodrick Pleasent,CB,UCLA,Sophomore,5'10,175,4.24,,303,,,,,,,,,,,
Rohan Jones,TE,Arkansas,Senior,6'3,242,,324,,,,,,,,,,,,
Roman Hemby,RB,Indiana,Senior,6'0,210,,190,219,,,126,,,,,,,,
Romello Brinson,WR,SMU,Senior,6'2,190,,397,,161,,213,,,,,,,,
Roy Williams,EDGE,Northern Illinois,Senior,6'6,257,,372,,,,,,,,,,,,
Roydell Williams,RB,Florida State,Senior,5'10,223,,332,210,,,,,,,,,,,
Rueben Owens II,RB,Texas A&M,Sophomore,5'11,215,4.38,,197,,,,,,,,,,,
Ryan Niblet,WR,Texas,Sophomore,5'10,187,4.3,,311,,,,,,,,,,,
Sage Ryan,S,Ole Miss,Senior,5'11,200,4.39,,233,,,,,,,,,,,
Sam Huard,QB,USC,Senior,6'1,210,4.85,,259,,,,,,,,,,,
Sam M'Pemba,LB,Texas A&M,Sophomore,6'3,252,4.7,,288,,,,,,,,,,,
Sam Roush,TE,Stanford,Senior,6'5,260,,104,123,124,,171,,,,,,,,
Sav'ell Smalls,TE,Colorado,Senior,6'3,265,4.58,,267,,,,,,,,,,,
Sawyer Robertson,QB,Baylor,Senior,6'4,220,4.85,204,140,177,,135,,,,,,,,
Scooby Williams,LB,Texas A&M,Senior,6'2,230,,275,254,,,237,,,,,,,,
Seth McGowan,RB,Kentucky,Junior,6'1,220,4.55,98,,,,136,,,,,,,,
Seydou Traore,TE,Mississippi State,Senior,6'4,235,,289,,,,199,,,,,,,,
Shad Banks Jr.,LB,UTSA,Senior,6'1,230,4.45,,280,,,186,,,,,,,,
Shamar Easter,TE,North Carolina,Freshman,6'5,215,4.58,,186,,,,,,,,,,,
Shawn Murphy,LB,South Carolina,Junior,6'3,231,4.48,,274,,,,,,,,,,,
Shyheim Brown,S,Florida State,Senior,6'2,201,,340,,,,,,,,,,,,
Skyler Bell,WR,UConn,Senior,6'0,185,4.43,81,69,54,88,131,,,,,,,,
Skyler Gill-Howard,DL,Texas Tech,Senior,6'1,290,4.9,109,107,107,119,150,,,,,,,,
Squirrel White,WR,Florida Stare,Senior,5'10,170,4.28,260,252,,,,,,,,,,,
Stanquan Clark,LB,Louisville,,,,,,,, ,,,,,,,,,
Star Thomas,RB,Tennessee ,Senior,6'0,,,,,,,250,,,,,,,,
Stephen Dix Jr.,LB,Arkansas ,Senior,6'1,240,4.66,,271,,,,,,,,,,,
Stephen Hall,CB,Missouri,Senior,6'0,202,,283,,,,,,,,,,,,
Stephen Thompson,LB,Florida Stare,Senior,6'1,240,4.65,,290,,,,,,,,,,,
Tacario Davis,CB,Washington,Senior,6'4,200,4.51,154,97,100,108,78,,,,,,,,
Tanner Arkin,TE,Illinois,Senior,6'4,265,,313,,,,,,,,,,,,
Tanner Koziol,TE,Houston,Senior,6'7,240,4.76,153,117,162,,147,,,,,,,,
Taurean York,LB,Texas A&M,Junior,5'10,227,4.58,82,62,64,69,43,,,,,,,,
Taylen Green,QB,Arkansas,Senior,6'6,224,4.44,206,134,170,,120,,,,,,,,
Ted Hurst,WR,Georgia State,Senior,6'3,185,4.48,145,121,67,115,124,,,,,,,,
Teitum Tuioti,EDGE,Oregon,Senior,6'3,263,4.76,,,,,,,,,,,,,
Terion Stewart,RB,Virginia Tech,Graduated,5'9,222,,194,127,,,139,,,,,,,,
Thaddeus Dixon,CB,North Carolina,Senior,6'1,185,4.46,139,148,,139,128,,,,,,,,
TJ Guy,EDGE,Michigan,Graduated,6'4,250,,189,,,,101,,,,,,,,
TJ Hall,CB,Iowa,Senior,6'0,190,,,,122,,100,,,,,,,,
Tommy Castellanos,QB,Florida State,Senior,5'11,201,,211,,,,,,,,,,,,
Tony Rojas,LB,Penn State,Junior,6'2,230,4.44,,225,,,,,,,,,,,
Toriano Pride Jr,CB,Missouri,Senior,5'11,188,,374,,,,271,,,,,,,,
Tory Grimes,CB,Purdue,Senior,6'1,190,,,190,,,,,,,,,,,
Tre Smith,EDGE,Arizona,Senior,6'5,262,,292,,,,,,,,,,,,
Trebor Pena,WR,Penn State,Senior,5'10,186,4.52,223,157,,,281,,,,,,,,
Trey Cooley,RB,Georgia Tech,Senior,5'10,205,4.5,,277,,,,,,,,,,,
Trey Holly,RB,Southern U,Sophomore,5'7,192,4.42,,196,,,,,,,,,,,
Trey Moore,EDGE,Texas,Senior,6'3,249,4.6,,,,131,105,,,,,,,,
Trey Moore,LB,Texas,Senior,6'3,249,,133,147,,,,,,,,,,,
Trey Smack,K,Florida,,,,,,,,,200,,,,,,,,
Triston Newsom,LB,Missouri,Graduated,6'2,230,,406,,,,,,,,,,,,
Troy Bowles,LB,Michigan,Junior,6'0,230,4.55,,222,,,,,,,,,,,
Ty Thompson,TE,Tulane,Senior,6'4,224,4.7,,236,,,,,,,,,,,
Tyler Onyedim,DL,Texas A&M,Senior,6'3,295,,,,135,,175,,,,,,,,
Tyler Van Dyke,QB,SMU,Senior,6'4,230,4.85,385,234,,,,,,,,,,,
Tyreek Chappell,CB,Texas A&M,Senior,5'11,180,,219,,,,259,,,,,,,,
Tyreek Chappell,S,Texas A&M,Senior,5'11,180,4.45,,249,,,,,,,,,,,
Tywone Malone Jr.,DL,Ohio State,Senior,6'4,309,5,,300,,,,,,,,,,,
Vinny Anthony,WR,Wisconsin ,Senior,6'0,190,,375,,165,,238,,,,,,,,
VJ Payne,S,Kansas State,Senior,6'3,208,,241,,,,137,,,,,,,,
Wade Woodaz,LB,Clemson,Senior,6'4,235,,350,,,,,,,,,,,,
Walter Eget,QB,San Jose State,Senior,6'3,223,,294,,,,,,,,,,,,
Wesley Bissainthe,LB,Miami (FL),Senior,6'1,,,301,,,,,,,,,,,,
Will Bettridge,K,Virginia,,,,,,,,,,,,,,,,,
Will Ferrin,K,BYU,Senior,6'3,175,,414,,,,272,,,,,,,,
Will Kacmerek,TE,Ohio Stare,Senior,6'5,258,4.8,,,183,,203,,,,,,,,
Will Whitson,EDGE,Mississippi State,Graduated,6'5,295,,348,,,,,,,,,,,,
Xavian Sorely Jr,LB,Arkansas,Senior,6'3,225,,282,226,,,223,,,,,,,,
Xavier Nwankpa,S,Iowa,Senior,6'2,213,,250,133,,,231,,,,,,,,
Xavier Scott,CB,Illinois,Senior,5'11,195,,106,91,,,176,,,,,,,,
Xavier Scott,S,Illinois,Senior,5'11,190,4.52,,,,,,,,,,,,,
Zach Calzada,QB,Kentucky,Senior ,6'4,230,4.75,407,273,,,,,,,,,,,
Zane Durant,DL,Penn State,Senior,6'1,294,4.66,200,131,111,128,70,,,,,,,,
Zavion Thomas,WR,LSU,Senior,5'10,192,,166,,,,,,,,,,,,